BuildingStory
,,Floor Area (including multipliers),,,,,Ventilation (Design),,,Ventilation (For Balance),,,,,,General,,Comm. Kitchen,,Parking Garage,,Laboratory
Name,Multiplier,Total,Cond. NRes,Cond. Res,Total Cond.,Number,Total,Code Min.,Exhaust,Total,Code Min.,Tot:Min Ratio,Exhaust,Vent:Exh Ratio,Vent Mult.,Vent,Exhaust,Vent,Exhaust,Vent,Exhaust,Vent,Exhaust
,,(ft2),(ft2),(ft2),(ft2),(people),(cfm),(cfm),(cfm),(cfm),(cfm),,(cfm),,,(cfm),(cfm),(cfm),(cfm),(cfm),(cfm),(cfm),(cfm)
"L1",1,5692.6,939.6,0.0,939.6,11.1,125,338,0,0,0,0,1.000,1.000,1.000,125,0,0,0,0,0,0,0
"L2",1,5692.6,5692.6,0.0,5692.6,72.8,1415,895,0,0,0,0,1.000,1.000,1.000,1415,0,0,0,0,0,0,0

Space
,,,,,,,,Occupancy,,,Ventilation,,,,Design Inputs,,,,,Minimum Req.,,,,,Adjustments,,Simulated,,Exhaust,,,ForBalance
Name,Story Name,Condg Type,Space Function,Thermal Zone,VentSys,Floor Area,Multiplier,Dsgn,Min,Number,Spec. Method,Control,Zone Eff (Ez),SysEff (Ev),Per Area,Per Occupant,Per Volume,Per Space,Calculated Flow (incl Mult and Ez),Per Area,Per Occupant,Per Volume,Calculated Flow (incl Mult and Ez),TARGET Flow (incl Mult and Ez),CodeVent Mult,ExhVent Mult,,,Calculated Flow,Lab Exh Type,Max Kitchen,Ventilation,Exhaust
,,,,,,(ft2),,(ppl/1000ft2),(ppl/1000ft2),(people),,,,,(cfm/ft2),(cfm/person),(ACH),(cfm/person),(cfm),(cfm/ft2),(cfm/person),(ACH),(cfm),(cfm),,,(cfm/ft2),(cfm/person),(cfm),,(cfm),(cfm),(cfm)
"Thermal Zone: L01-105_IstoComlUncd","L1","Unconditioned","NONE","NONE",4753.0,1,1.5,0.0,7.1,"NoVentilation","UNDEFINED",1.000,1.000,0,0,0.000,0.00
"Thermal Zone: L01-102_OfceComlPthp","L1","Conditioned","Elecresistance+BaseSys4DX-1","ERV1",939.6,1,4.3,23.3,4.0,"Sum","Fixed",1.000,1.000,125,91,0.133,0.00
"Thermal Zone: L02-214_AstoComlPthp","L2","Conditioned","Elecresistance+BaseSys4DX-8","ERV1",343.3,1,1.5,0.0,0.5,"Sum","Fixed",1.000,1.000,115,76,0.335,0.00
"Thermal Zone: L02-209_AstoComlPthp","L2","Conditioned","Elecresistance+BaseSys4DX-7","ERV1",346.7,1,1.5,0.0,0.5,"Sum","Fixed",1.000,1.000,115,76,0.332,0.00
"Thermal Zone: L02-216_MprpComlPthp","L2","Conditioned","HP4","ERV1",300.4,1,28.7,57.0,8.6,"Sum","Fixed",1.000,1.000,80,62,0.266,0.00
"Thermal Zone: L02-206_MprpComlPthp","L2","Conditioned","Elecresistance+BaseSys4DX-6","ERV1",597.3,1,15.6,29.3,9.3,"Sum","Fixed",1.000,1.000,25,20,0.042,0.00
"Thermal Zone: L02-201_CorrComlPthp","L2","Conditioned","Elecresistance+BaseSys4DX-5","ERV1",2052.7,1,6.4,9.2,13.2,"Sum","Fixed",1.000,1.000,90,43,0.044,0.00
"Thermal Zone: L02-218_MechComlPthp","L2","Conditioned","HP1","NONE",45.9,1,1.5,3.0,0.1,"Sum","Fixed",1.000,1.000,0,0,0.000,0.00
"Thermal Zone: L02-202_OfceComlPthp","L2","Conditioned","Elecresistance+BaseSys4DX-2","ERV1",187.6,1,5.0,10.0,0.9,"Sum","Fixed",1.000,1.000,35,18,0.187,0.00
"Thermal Zone: L02-203_BrkrComlPthp","L2","Conditioned","Elecresistance+BaseSys4DX-3","ERV1",223.3,1,33.3,66.7,7.4,"Sum","Fixed",1.000,1.000,65,50,0.291,0.00
"Thermal Zone: L02-204_FitnComlPthp","L2","Conditioned","HP2/3","ERV1",1595.4,1,20.2,17.8,32.2,"Sum","Fixed",1.000,1.000,890,700,0.558,0.00
